name,slug,description,shortDescription,category,link,featured,difficulty,score,tier,bestFor,tags
Pinecone,pinecone,Managed vector database built for storing and querying AI embeddings at scale for semantic search and RAG applications.,Managed vector database for AI applications,data-analytics,https://pinecone.io,False,Advanced,86,core,AI engineers building semantic search and RAG systems at scale.,"technical, data"
Weaviate,weaviate,Open-source vector database with hybrid search and built-in ML model integrations for AI-native applications.,Open-source vector database with hybrid search,data-analytics,https://weaviate.io,False,Advanced,84,core,Developers building AI search applications who want open-source control.,"open-source, technical, data"
Chroma,chroma,Open-source embedding database designed for rapid prototyping of AI applications with simple Python and JavaScript SDKs.,Lightweight open-source embedding database,data-analytics,https://trychroma.com,False,Intermediate,82,curated,Developers quickly prototyping RAG systems and AI document search.,"open-source, technical"
Weights & Biases,wandb,"MLOps platform for tracking, visualizing, and comparing ML model training runs with experiment management tools.",ML experiment tracking and model management,data-analytics,https://wandb.ai,False,Advanced,88,core,ML engineers and data scientists tracking model training experiments.,"technical, data"
DataRobot,datarobot,Enterprise AutoML platform automating the end-to-end machine learning lifecycle from data prep to model deployment.,Enterprise AutoML and MLOps platform,data-analytics,https://datarobot.com,False,Advanced,83,core,Enterprise data science teams accelerating ML model development.,"technical, data"
Obviously AI,obviously-ai,No-code ML platform that builds and deploys predictive models from spreadsheet data in under a minute.,No-code predictive ML for business analysts,data-analytics,https://obviously.ai,False,Beginner,79,curated,Business analysts who want predictive modeling without data science expertise.,"data, fast"
Tableau AI,tableau-ai,"Einstein AI features inside Tableau for auto-generating dashboards, natural language queries, and predictive analytics.",AI-powered business intelligence in Tableau,data-analytics,https://tableau.com,False,Intermediate,85,core,Business analysts using Tableau who want AI-assisted data storytelling.,"data, smart"
Power BI AI,power-bi-ai,"Microsoft's AI features in Power BI including Q&A natural language queries, AutoML, and key influencer analysis.",AI features inside Microsoft Power BI,data-analytics,https://powerbi.microsoft.com,False,Intermediate,84,core,Enterprises in the Microsoft ecosystem wanting AI-enhanced BI dashboards.,"data, smart"
Akkio,akkio,"No-code AI platform for business analysts to build predictive models, chat with data, and deploy AI workflows.",No-code AI predictions for business teams,data-analytics,https://akkio.com,False,Beginner,78,curated,Marketing and sales teams wanting AI-powered forecasting without a data scientist.,"data, fast"
Elicit,elicit,"AI research tool that automates literature review by summarizing papers, extracting data, and finding relevant studies.",AI research assistant for literature review,research,https://elicit.com,False,Beginner,88,core,Academic researchers and scientists conducting systematic literature reviews.,"academic, smart"
Semantic Scholar,semantic-scholar,AI-powered research tool from Allen Institute indexing 200M+ academic papers with AI-generated summaries and citation graphs.,AI-powered academic paper search and analysis,research,https://semanticscholar.org,False,Beginner,86,curated,Students and researchers navigating complex academic literature.,"academic, smart"
Research Rabbit,research-rabbit,Literature mapping tool that visualizes connections between academic papers and finds related research automatically.,Visual literature mapping for researchers,research,https://researchrabbit.ai,False,Beginner,85,curated,Graduate students and academics building comprehensive literature maps.,academic
Scite,scite,"Citation analysis tool that shows how papers cite each other, distinguishing supporting vs. contrasting evidence.",Citation context analysis for research papers,research,https://scite.ai,False,Intermediate,84,curated,Researchers evaluating the credibility and context of academic citations.,"academic, smart"
Genei,genei,AI-powered research and note-taking tool that summarizes PDFs and webpages and extracts key information automatically.,AI research summarization and note-taking,research,https://genei.io,False,Beginner,80,curated,Students and researchers processing large volumes of PDFs and articles.,"academic, fast"
ChatPDF,chatpdf,"Upload any PDF and have a conversation with it, getting instant answers and summaries from the document content.",Chat with any PDF using AI,research,https://chatpdf.com,False,Beginner,84,curated,Students and professionals who need to quickly extract info from long PDFs.,"fast, docs"
Humata,humata,"AI tool for instantly analyzing and answering questions from complex research papers, contracts, and technical documents.",AI Q&A for complex documents and contracts,research,https://humata.ai,False,Beginner,83,curated,"Legal professionals, researchers, and students parsing dense documents.","docs, smart"
Docusign AI,docusign-ai,"AI capabilities inside Docusign for contract review, obligation extraction, and intelligent agreement analysis.",AI contract review and analysis inside Docusign,research,https://docusign.com/ai,False,Intermediate,83,curated,Legal and contract teams who use Docusign and need faster contract review.,"docs, technical"
Khanmigo,khanmigo,Khan Academy's AI tutor powered by GPT-4 that guides students through problems with Socratic questioning.,AI tutor for personalized student learning,research,https://khanacademy.org/khanmigo,False,Beginner,86,curated,K-12 students and tutors wanting personalized AI-guided learning.,"academic, conversational"
Duolingo Max,duolingo-max,Duolingo's AI-powered tier with Roleplay conversations and Explain My Answer features powered by GPT-4.,AI-powered language learning with GPT-4,research,https://duolingo.com/max,False,Beginner,87,curated,Language learners who want conversational practice with AI feedback.,"conversational, smart"
Socratic,google-socratic,Google's AI learning app that scans handwritten homework and provides step-by-step visual explanations.,AI homework helper with visual explanations,research,https://socratic.org,False,Beginner,84,curated,High school and college students stuck on homework problems.,"academic, smart"
Dify,dify,"Open-source LLM app development platform for visually building, deploying, and managing AI agents and chatbots.",Open-source LLM app builder and deployment platform,code-dev,https://dify.ai,False,Intermediate,85,curated,Developers who want to build and deploy AI applications with a visual interface.,"open-source, technical, coding"
FlowiseAI,flowise-ai,Open-source drag-and-drop tool for building LLM flows and AI agents using LangChain components visually.,Visual no-code LLM flow builder,code-dev,https://flowiseai.com,False,Intermediate,83,curated,Developers who want LangChain complexity with a visual node-based editor.,"open-source, coding, technical"
Poe,poe-ai,"Quora's AI chatbot aggregator giving access to ChatGPT, Claude, Gemini, Llama, and other models in one interface.",Multi-model AI chatbot aggregator,text-writing,https://poe.com,False,Beginner,85,curated,Power users who want to compare and use multiple AI models in one place.,"conversational, smart"
You.com,you-com,"AI-powered search engine combining web search with AI answers, code generation, and image creation in one interface.",AI search engine with multi-modal generation,research,https://you.com,False,Beginner,83,curated,"Users who want a private, AI-enhanced alternative to Google search.","real-time, smart"
Brave Leo,brave-leo,"Built-in AI assistant in the Brave browser offering private, on-device AI answers and page summarization.",Private AI assistant built into Brave Browser,productivity,https://brave.com/leo,False,Beginner,81,curated,Privacy-conscious users who want AI built into their browser.,"fast, real-time"
